countriesAndTerritories,cases,deaths,popData2020,cases_per_million,deaths_per_million,Cluster
Austria,5402162.0,20899.0,8901064.0,606911.9377189064,2347.9215518504307,1
Belgium,4607296.0,32883.0,11522440.0,399854.19754843594,2853.8226278461852,3
Bulgaria,1275481.0,37790.0,6951482.0,183483.32053510315,5436.250859888582,0
Croatia,1244692.0,17085.0,4058165.0,306713.0094513161,4210.030888344855,3
Cyprus,596297.0,1191.0,888005.0,671501.8496517474,1341.2086643656285,1
Czechia,4152997.0,41524.0,10693939.0,388350.5413674045,3882.947153523131,3
Denmark,3219571.0,7274.0,5822763.0,552928.3949904882,1249.235113982829,1
Estonia,606268.0,2739.0,1328976.0,456191.8349165072,2060.9852999602704,1
Finland,1335318.0,6407.0,5525292.0,241673.74321574316,1159.576724632834,2
France,36612627.0,156509.0,67320216.0,543857.8361067647,2324.843996341307,1
Germany,35287690.0,152753.0,83166711.0,424300.6555832177,1836.7084397506112,1
Greece,5135200.0,33574.0,10718565.0,479093.9831964447,3132.3222838131783,3
Hungary,2141513.0,47938.0,9769526.0,219203.3676966518,4906.89108151204,0
Iceland,206134.0,213.0,364134.0,566093.8006338326,584.9494966138839,1
Ireland,1670377.0,8010.0,4964440.0,336468.3629976392,1613.4750344449726,2
Italy,23359680.0,178633.0,59641488.0,391668.2964046772,2995.1130662601845,3
Latvia,949252.0,6044.0,1907675.0,497596.28867600614,3168.2545506965284,3
Liechtenstein,20548.0,86.0,38747.0,530312.0241567089,2219.5266730327508,1
Lithuania,1265985.0,9386.0,2794090.0,453093.85166547965,3359.2332387288884,3
Luxembourg,301031.0,1144.0,626108.0,480797.2426482332,1827.1608093172424,1
Malta,115243.0,808.0,514564.0,223962.42255579482,1570.2614252065828,2
Netherlands,8494705.0,22771.0,17407585.0,487988.7129662156,1308.107931111639,1
Norway,1463991.0,4187.0,5367580.0,272746.9362356965,780.0535809433674,2
Poland,6189562.0,118050.0,37958138.0,163062.8457064991,3110.0050271169785,0
Portugal,5514482.0,25131.0,10295909.0,535599.3336770944,2440.8723892178923,1
Romania,3246580.0,67179.0,19328838.0,167965.60662363665,3475.5839952717283,0
Slovakia,2535554.0,20511.0,5457873.0,464568.15686257265,3758.057397084908,3
Slovenia,1228217.0,6875.0,2095861.0,586020.2561143129,3280.274789215506,3
Spain,13564823.0,114110.0,47332614.0,286585.1228922197,2410.8112854278447,2
Sweden,2604866.0,20407.0,10327589.0,252224.0185971769,1975.9694155141146,2
